system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,ts-auth-service_cpu_1,ts-auth-service,cpu,True,True,ts-auth-service,0.6,76.16,
ours,ts-auth-service_cpu_2,ts-auth-service,cpu,False,False,ts-admin-basic-info-service,0.6,75.54,
ours,ts-auth-service_cpu_3,ts-auth-service,cpu,False,False,ts-food-service,0.6,66.73,
ours,ts-auth-service_delay_1,ts-auth-service,delay,False,False,ts-order-service,0.48,71.89,
ours,ts-auth-service_delay_2,ts-auth-service,delay,True,True,ts-auth-service,0.28,73.23,
ours,ts-auth-service_delay_3,ts-auth-service,delay,False,False,ts-security-service,0.4,71.19,
ours,ts-auth-service_disk_1,ts-auth-service,disk,True,True,ts-auth-service,0.6,73.18,
ours,ts-auth-service_disk_2,ts-auth-service,disk,True,True,ts-auth-service,0.6,70.39,
ours,ts-auth-service_disk_3,ts-auth-service,disk,True,True,ts-auth-service,0.6,72.66,
ours,ts-auth-service_loss_1,ts-auth-service,loss,False,False,ts-preserve-service,0.58,70.73,
ours,ts-auth-service_loss_2,ts-auth-service,loss,False,False,ts-food-map-service,0.6,68.33,
ours,ts-auth-service_loss_3,ts-auth-service,loss,False,False,ts-order-service,0.6,72.36,
ours,ts-auth-service_mem_1,ts-auth-service,mem,True,True,ts-auth-service,0.55,67.84,
ours,ts-auth-service_mem_2,ts-auth-service,mem,True,True,ts-config-service,0.6,70.48,
ours,ts-auth-service_mem_3,ts-auth-service,mem,True,True,ts-auth-service,0.45,72.19,
ours,ts-auth-service_socket_1,ts-auth-service,socket,True,True,ts-auth-service,0.6,69.28,
ours,ts-auth-service_socket_2,ts-auth-service,socket,False,False,ts-price-service,0.6,77.82,
ours,ts-auth-service_socket_3,ts-auth-service,socket,False,False,ts-admin-travel-service,0.6,85.87,
ours,ts-order-service_cpu_1,ts-order-service,cpu,True,True,ts-order-service,0.6,77.45,
ours,ts-order-service_cpu_2,ts-order-service,cpu,True,True,ts-order-service,0.6,68.1,
ours,ts-order-service_cpu_3,ts-order-service,cpu,True,True,ts-order-service,0.6,74.48,
ours,ts-order-service_delay_1,ts-order-service,delay,True,True,ts-order-service,0.6,62.19,
ours,ts-order-service_delay_2,ts-order-service,delay,False,False,ts-food-map-service,0.6,61.04,
ours,ts-order-service_delay_3,ts-order-service,delay,True,True,ts-order-service,0.58,73.0,
ours,ts-order-service_disk_1,ts-order-service,disk,True,True,ts-order-service,0.28,67.58,
ours,ts-order-service_disk_2,ts-order-service,disk,True,True,ts-order-service,0.6,57.59,
ours,ts-order-service_disk_3,ts-order-service,disk,True,True,ts-order-service,0.6,60.98,
ours,ts-order-service_loss_1,ts-order-service,loss,True,True,ts-order-service,0.6,88.0,
ours,ts-order-service_loss_2,ts-order-service,loss,True,True,ts-order-service,0.6,70.74,
ours,ts-order-service_loss_3,ts-order-service,loss,True,True,ts-order-service,0.6,58.93,
ours,ts-order-service_mem_1,ts-order-service,mem,True,True,ts-order-service,0.6,72.09,
ours,ts-order-service_mem_2,ts-order-service,mem,True,True,ts-order-service,0.6,71.6,
ours,ts-order-service_mem_3,ts-order-service,mem,True,True,ts-order-service,0.6,70.2,
ours,ts-order-service_socket_1,ts-order-service,socket,True,True,ts-order-service,0.6,64.67,
ours,ts-order-service_socket_2,ts-order-service,socket,True,True,ts-order-service,0.6,63.85,
ours,ts-order-service_socket_3,ts-order-service,socket,True,True,ts-order-service,0.6,75.87,
ours,ts-route-service_cpu_1,ts-route-service,cpu,False,False,ts-order-service,0.6,82.38,
ours,ts-route-service_cpu_2,ts-route-service,cpu,True,True,ts-route-service,0.6,58.76,
